CVE-ID,MITRE Assign Date,Patch Date,Exploit Date,ZDI Published Date,CVE Description,ZDI Description,Severity Score,In ZDI,Zero Day Exploit,CWE ID,Num of CPE,Num of Refs,Refs,CWE ID_2,CWE ID_4,CWE ID_10,CWE ID_11,CWE ID_12,CWE ID_16,CWE ID_17,CWE ID_19,CWE ID_21,CWE ID_23,CWE ID_24,CWE ID_26,CWE ID_28,CWE ID_30,CWE ID_38,CWE ID_41,CWE ID_42,CWE ID_45,CWE ID_46,CWE ID_48,CWE ID_49,CWE ID_51,CWE ID_53,CWE ID_67,CWE ID_69,CWE ID_74,CWE ID_75,CWE ID_79,CWE ID_84,CWE ID_85,CWE ID_86
cve-2015-0057,11/18/2014,5/14/2019 0:00,12/18/2015 0:00,,win32k.si kernel-mod driver microsoft window server 2003 sp2 window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow local user gain privileg via craft applic aka `` win32k elev privileg vulner '',,0.0,False,True,23,12,4,BID XF EXPLOIT-DB ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cve-2015-0081,11/18/2014,5/14/2019 0:00,3/11/2015 0:00,3/10/2015,window text servic wt microsoft window server 2003 sp2 window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow remot attack execut arbitrari code via craft 1 web site 2 file aka `` wt remot code execut vulner '',thi vulner allow remot attack execut arbitrari code vulner instal microsoft window user interact requir exploit vulner target must visit malici page open malici file.th vulner relat window text servic process certain object By open malform document attack forc mscft.dll access memori outsid bound array An attack leverag vulner execut code context current process,6.8,True,True,11,12,3,SECTRACK BID ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cve-2015-0318,12/1/2014,2/6/2015 0:00,11/25/2014 0:00,,adob flash player 13.0.269 14.x 16.x 16.0.305 window OS X 11.2.202.442 linux allow attack execut arbitrari code caus denial servic memori corrupt via unspecifi vector differ vulner cve-2015-0314 cve-2015-0316 cve-2015-0321 cve-2015-0329 cve-2015-0330,,0.0,False,True,86,19,14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cve-2015-0359,12/1/2014,4/15/2015 0:00,4/14/2014 0:00,,doubl free vulner adob flash player 13.0.281 14.x 17.x 17.0.169 window OS X 11.2.202.457 linux allow attack execut arbitrari code via unspecifi vector differ vulner cve-2015-0346,,0.0,False,True,85,20,9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cve-2015-1318,1/22/2015,4/20/2015 0:00,4/14/2015 0:00,,the crash report featur apport 2.13 2.17.x 2.17.1 allow local user gain privileg via craft usr/share/apport/apport file namespac contain,,0.0,False,True,23,18,6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cve-2015-1427,1/31/2015,2/18/2015 0:00,2/11/2015 0:00,,the groovi script engin elasticsearch 1.3.8 1.4.x 1.4.3 allow remot attack bypass sandbox protect mechan execut arbitrari shell command via craft script,,0.0,False,True,26,5,8,CONFIRM ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cve-2015-1494,2/5/2015,2/18/2015 0:00,2/16/2015 0:00,,the fancybox wordpress plugin 3.0.3 wordpress properli restrict access allow remot attack conduct cross-sit script xss attack via mfbfw paramet updat action wp-admin/admin-post.php demonstr mfbfw pad paramet exploit wild februari 2015,,0.0,False,True,75,1,8,MISC BID ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cve-2015-1676,2/17/2015,5/13/2019 0:00,5/18/2015 0:00,5/12/2015,the kernel-mod driver microsoft window server 2003 sp2 window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow local user bypass aslr protect mechan via craft function call aka `` microsoft window kernel memori disclosur vulner '' differ vulner cve-2015-1677 cve-2015-1678 cve-2015-1679 cve-2015-1680,thi vulner allow local attack leak sensit inform vulner instal microsoft window user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within handl ntusergettitlebarinfo function the issu lie failur sanit buffer return content result leak kernel address An attack leverag togeth anoth vulner achiev code execut system,4.9,True,True,17,12,3,SECTRACK BID ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cve-2015-1721,2/17/2015,5/14/2019 0:00,9/22/2015 0:00,,the kernel-mod driver microsoft window server 2003 sp2 R2 sp2 window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow local user gain privileg caus denial servic null pointer derefer system crash via craft applic aka `` win32k null pointer derefer vulner '',,0.0,False,True,53,13,3,EXPLOIT-DB SECTRACK ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cve-2015-1722,2/17/2015,5/13/2019 0:00,9/22/2015 0:00,,use-after-fre vulner kernel-mod driver microsoft window server 2003 sp2 R2 sp2 window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow local user gain privileg via craft applic aka `` microsoft window kernel bitmap handl use after free vulner '',,0.0,False,True,49,13,4,SECTRACK ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
