CVE-ID,MITRE Assign Date,Patch Date,Exploit Date,ZDI Published Date,CVE Description,ZDI Description,Severity Score,In ZDI,Zero Day Exploit,CWE ID,Num of CPE,Num of Refs,Refs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,cvss_accessVector,cvss_accessComplexity,cvss_authentication,cvss_confidentialityImpact,cvss_integrityImpact,cvss_availabilityImpact,cvss_baseScore,cvss_severity,cvss_exploitabilityScore,cvss_impactScore,cvss_obtainAllPrivilege,cvss_obtainUserPrivilege,cvss_obtainOtherPrivilege,cvss_userInteractionRequired
cve-2015-0272,2014-11-18,2016-09-09 00:00:00,,,gnome networkmanag allow remot attack caus denial servic ipv6 traffic disrupt via craft mtu valu ipv6 router advertis RA messag differ vulner cve-2015-8215,,0.0,False,False,86,25,12,BID CONFIRM CONFIRM SUSE SUSE SUSE SUSE SUSE UBUNTU SUSE SUSE ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NETWORK,LOW,NONE,NONE,NONE,PARTIAL,5.0,MEDIUM,10.0,2.9,False,False,False,False
cve-2015-0285,2014-11-18,2018-11-29 00:00:00,,,the ssl3_client_hello function s3_clnt.c openssl 1.2 1.2a ensur prng seed proceed handshak make easier remot attack defeat cryptograph protect mechan snif network conduct brute-forc attack,,0.0,False,False,30,4,17,CONFIRM CONFIRM CONFIRM SECTRACK CONFIRM CONFIRM CONFIRM CONFIRM HP HP HP CONFIRM BID CONFIRM GENTOO CONFIRM ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NETWORK,MEDIUM,NONE,PARTIAL,NONE,NONE,4.3,MEDIUM,8.6,2.9,False,False,False,False
cve-2015-0345,2014-12-01,2015-04-15 00:00:00,,,cross-sit script xss vulner adob coldfus 10 updat 16 11 updat 5 allow remot attack inject arbitrari web script html via unspecifi vector,,0.0,False,False,75,2,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,NETWORK,MEDIUM,NONE,NONE,PARTIAL,NONE,4.3,MEDIUM,8.6,2.9,False,False,False,True
cve-2015-0353,2014-12-01,2015-04-15 00:00:00,,,adob flash player 13.0.281 14.x 17.x 17.0.169 window OS X 11.2.202.457 linux allow attack execut arbitrari code caus denial servic memori corrupt via unspecifi vector differ vulner cve-2015-0347 cve-2015-0350 cve-2015-0352 cve-2015-0354 cve-2015-0355 cve-2015-0360 cve-2015-3038 cve-2015-3041 cve-2015-3042 cve-2015-3043,,0.0,False,False,86,31,9,SUSE REDHAT SUSE SUSE ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NETWORK,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,10.0,HIGH,10.0,10.0,False,False,False,False
cve-2015-1319,2015-01-22,2015-09-21 00:00:00,,,the uniti set daemon 14.04.0+14.04.20150825-0ubuntu2 15.04.x 15.04.1+15.04.20150408-0ubuntu1.2 properli detect screen lock allow physic proxim attack mount remov media screen lock demonstr insert usb thumb drive,,0.0,False,False,16,2,2,CONFIRM ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOCAL,LOW,NONE,NONE,PARTIAL,NONE,2.1,LOW,3.9,2.9,False,False,False,False
cve-2015-1436,2015-01-31,2015-02-17 00:00:00,,,cross-sit script xss vulner eas slider plugin 2.2.0.7 wordpress allow remot attack inject arbitrari web script html via edit paramet 1 easingslider_manage_custom 2 easingslider_edit_slid page wp-admin/admin.php,,0.0,False,False,75,1,6,XF BUGTRAQ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,NETWORK,MEDIUM,NONE,NONE,PARTIAL,NONE,4.3,MEDIUM,8.6,2.9,False,False,False,True
cve-2015-1500,2015-02-05,2015-02-17 00:00:00,,2015-02-10,multipl stack-bas buffer overflow tsunicodegrapheditorcontrol solarwind server applic monitor sam allow remot attack execut arbitrari code via unspecifi vector 1 graphmanager.load 2 factory.load,thi vulner allow remot attack execut arbitrari code vulner instal solarwind server applic monitor user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within 'graphmanag object 's load method the issu lie failur valid size attacker-suppli input copi fixed-s buffer stack An attack leverag vulner execut code context current process,7.5,True,False,2,1,2,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NETWORK,MEDIUM,NONE,PARTIAL,PARTIAL,PARTIAL,6.8,MEDIUM,8.6,6.4,False,False,False,True
cve-2015-1838,2015-02-17,2017-04-19 00:00:00,,,modules/serverdensity_device.pi saltstack 2014.7.4 properli handl file /tmp,,0.0,False,False,11,2,4,CONFIRM FEDORA ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOCAL,LOW,NONE,PARTIAL,PARTIAL,PARTIAL,4.6,MEDIUM,3.9,6.4,False,False,False,False
cve-2015-1839,2015-02-17,2017-04-19 00:00:00,,,modules/chef.pi saltstack 2014.7.4 properli handl file /tmp,,0.0,False,False,11,2,5,CONFIRM FEDORA ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOCAL,LOW,NONE,PARTIAL,PARTIAL,PARTIAL,4.6,MEDIUM,3.9,6.4,False,False,False,False
cve-2015-1819,2015-02-17,2016-11-22 00:00:00,,,the xmlreader libxml allow remot attack caus denial servic memori consumpt via craft xml data relat xml entiti expans xee attack,,0.0,False,False,45,17,24,REDHAT UBUNTU REDHAT CONFIRM CONFIRM CONFIRM APPLE CONFIRM APPLE APPLE CONFIRM APPLE DEBIAN CONFIRM CONFIRM BID FEDORA FEDORA SUSE SUSE GENTOO GENTOO SECTRACK ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NETWORK,LOW,NONE,NONE,NONE,PARTIAL,5.0,MEDIUM,10.0,2.9,False,False,False,False
